id,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,vid_id
0,"Hey, Soul Sister",Train,neo mellow,2010,97,89,67,-4,8,80,217,19,4,83,Iurs-gVL48Y
1,Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,-5,52,64,263,24,23,82,acMtKzTbAAU
2,TiK ToK,Kesha,dance pop,2010,120,84,76,-3,29,71,200,10,14,80,tGxg7EmXDC0
3,Bad Romance,Lady Gaga,dance pop,2010,119,92,70,-4,8,71,295,0,4,79,TTOPBQhrvtQ
4,Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9,43,221,2,4,78,u7XjPmN-tHw
5,Baby,Justin Bieber,canadian pop,2010,65,86,73,-5,11,54,214,4,14,77,j8n1pj8RfFs
6,Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,77,kJNyjdpT1vo
7,Secrets,OneRepublic,dance pop,2010,148,76,52,-6,12,38,225,7,4,77,BHsIHlyOMpc
8,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,48,-8,12,14,216,74,3,76,_W44NZvHc9I
9,Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,73,-ySWIyJj3I0
10,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,87,62,-4,6,47,235,3,3,73,88gZ5bw7GU4
11,Marry You,Bruno Mars,pop,2010,145,83,62,-5,10,48,230,33,4,73,dElRVQFqj-k
12,Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,77,-5,70,63,213,18,5,73,l-TaaIQ2_1A
13,Telephone,Lady Gaga,dance pop,2010,122,83,83,-6,11,71,221,1,4,73,1Ea8Rj2wQ2w
14,Like A G6,Far East Movement,dance pop,2010,125,84,44,-8,12,78,217,1,45,72,GvgJEznqtms
15,OMG (feat. will.i.am),Usher,atl hip hop,2010,130,75,78,-6,36,33,269,20,3,72,wbfO5jaUiQo
16,Eenie Meenie,Sean Kingston,dance pop,2010,121,61,72,-4,11,83,202,5,3,71,n4S5-nRUWbE
17,The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128,81,82,-8,60,44,308,7,7,70,zh1JNLCzlLs
18,Alejandro,Lady Gaga,dance pop,2010,99,80,63,-7,36,37,274,0,5,69,ucniWROEZC4
19,Your Love Is My Drug,Kesha,dance pop,2010,120,61,83,-4,9,76,187,1,10,69,RPdkRjOqVdI
20,Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130,63,80,-7,32,40,284,0,7,68,gNRNzOERHuY
21,Whataya Want from Me,Adam Lambert,australian pop,2010,186,68,44,-5,6,45,227,1,5,66,X1Fqn9du7xo
22,Take It Off,Kesha,dance pop,2010,125,68,73,-5,9,74,215,0,3,66,RpFMuBHxGWs
23,Misery,Maroon 5,pop,2010,103,81,70,-5,22,73,216,0,4,65,6g6g2mvItp4
24,All The Right Moves,OneRepublic,dance pop,2010,146,95,53,-4,28,65,238,26,5,65,RuPm04f9BUk
25,Animal,Neon Trees,indie pop,2010,148,83,48,-6,38,74,212,0,4,65,gM7Hlg75Mlo
26,Naturally,Selena Gomez & The Scene,dance pop,2010,133,90,61,-5,5,88,203,2,5,64,a_YR4dKArgo
27,I Like It,Enrique Iglesias,dance pop,2010,129,94,65,-3,6,73,231,2,9,63,c8WwwScSRkE
28,Teenage Dream,Katy Perry,dance pop,2010,120,80,72,-5,13,59,228,2,4,63,OE7IhVLrrNw
29,California Gurls,Katy Perry,dance pop,2010,125,75,79,-4,18,40,235,0,5,62,l0Yjc5aSgwI
30,3,Britney Spears,dance pop,2010,135,71,70,-2,14,79,213,5,5,62,oTs6oQx1WJY
31,My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,138,89,68,-4,36,83,192,1,8,62,N1MMoZ-DLlY
32,Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,120,84,75,-3,42,52,172,8,12,62,tUn64B3zzOw
